단어,positive,negative,그룹
본사,5,0,KT Skylife
직접,1,0,KT Skylife
전화,37,7,KT Skylife
안녕하세요,13,2,KT Skylife
알뜰,27,8,KT Skylife
회선,29,4,KT Skylife
가지다,2,0,KT Skylife
모바일,28,8,KT Skylife
원래,10,0,KT Skylife
프리티,9,0,KT Skylife
소명,1,1,KT Skylife
때문,4,0,KT Skylife
이벤트,8,2,KT Skylife
문자,6,2,KT Skylife
결제,76,18,KT Skylife
할인,38,8,KT Skylife
혜택,18,0,KT Skylife
선일,1,0,KT Skylife
네이버,8,0,KT Skylife
경우,16,2,KT Skylife
나오다,47,8,KT Skylife
시도,20,2,KT Skylife
그렇다,34,4,KT Skylife
보다,8,0,KT Skylife
그때,2,0,KT Skylife
게시,10,0,KT Skylife
찾아보다,12,4,KT Skylife
얘기,5,0,KT Skylife
그냥,25,16,KT Skylife
넘기다,1,0,KT Skylife
그러다,8,0,KT Skylife
지금,12,1,KT Skylife
빌리,10,0,KT Skylife
언스,9,0,KT Skylife
정책,7,0,KT Skylife
어쩌다,3,2,KT Skylife
휴대폰,19,2,KT Skylife
제한,24,6,KT Skylife
방법,10,0,KT Skylife
궁금,9,0,KT Skylife
물어보다,10,0,KT Skylife
모르다,34,4,KT Skylife
답변,14,2,KT Skylife
건지,5,0,KT Skylife
애매,1,0,KT Skylife
모빌,12,2,KT Skylife
충전,12,0,KT Skylife
이해,6,0,KT Skylife
풍차,18,5,KT Skylife
통신사,33,12,KT Skylife
관사,1,0,KT Skylife
자체,16,0,KT Skylife
해제,5,0,KT Skylife
문의,9,2,KT Skylife
저러다,1,0,KT Skylife
상품,48,0,KT Skylife
별개,4,0,KT Skylife
무관,1,0,KT Skylife
저런,1,0,KT Skylife
히라노,0,2,KT Skylife
저것,0,2,KT Skylife
에어,5,0,KT Skylife
조단,5,0,KT Skylife
상담원,9,0,KT Skylife
시스템,10,4,KT Skylife
업데이트,10,0,KT Skylife
기다리다,5,0,KT Skylife
다음,10,2,KT Skylife
도움,2,0,KT Skylife
못하,6,0,KT Skylife
죄송,2,4,KT Skylife
게시판,8,2,KT Skylife
그대로,12,2,KT Skylife
차단,16,0,KT Skylife
이유,12,4,KT Skylife
이런,16,1,KT Skylife
불구,2,0,KT Skylife
여전히,4,0,KT Skylife
어휴,2,0,KT Skylife
지아,1,0,KT Skylife
참고,10,2,KT Skylife
거부,2,0,KT Skylife
특이,2,0,KT Skylife
메로,1,0,KT Skylife
메로나,1,0,KT Skylife
